file, FLS, LVI, LVE, LKPE, LKVE, opt
diw0260, 468 (1.789), 476 (0.751), 476 (0.751), 468 (1.642), 476 (0.727), 468
diw0313, 397 (1.150), 397 (0.543), 397 (0.559), 397 (1.161), 397 (0.538), 397
diw0393, 302 (0.192), 307 (0.048), 307 (0.066), 302 (0.117), 307 (0.107), 302
diw0445, 1371 (68.03), 1425 (30.82), 1395 (30.43), 1371 (65.40), 1425 (61.79), 1363
diw0459, 1377 (503.6), 1382 (249.3), 1382 (248.7), 1377 (504.2), 1382 (499.0), 1362
diw0460, 345 (0.493), 391 (0.192), 384 (0.231), 345 (0.518), 394 (0.199), 345
diw0473, 1107 (113.3), 1135 (55.84), 1112 (56.65), 1107 (115.5), 1135 (113.6), 1098
diw0487, 1428 (152.0), 1466 (72.55), 1456 (72.70), 1428 (151.3), 1466 (147.6), 1424
diw0495, 635 (9.013), 658 (4.163), 648 (4.348), 635 (9.056), 658 (8.530), 616
diw0513, 604 (8.402), 639 (4.029), 639 (4.101), 604 (8.379), 639 (8.042), 604
diw0523, 561 (12.99), 561 (6.391), 561 (6.434), 561 (13.17), 561 (13.16), 561
diw0540, 374 (0.292), 379 (0.126), 374 (0.143), 374 (0.277), 379 (0.257), 374
diw0559, 1616 (545.0), 1631 (266.1), 1608 (266.1), 1616 (542.0), 1631 (541.2), 1570
diw0795, 1718 (345.0), 1725 (171.7), 1721 (175.5), 1718 (356.0), 1734 (350.2), 1550
diw0801, 1592 (288.1), 1630 (148.9), 1594 (147.3), 1592 (290.4), 1630 (290.9), 1587
lin01, 503 (0.030), 503 (0.002), 503 (0.001), 503 (0.003), 503 (0.003), 503
lin02, 557 (0.017), 557 (0.002), 557 (0.002), 557 (0.003), 557 (0.002), 557
lin03, 926 (0.033), 932 (0.002), 932 (0.003), 926 (0.005), 932 (0.003), 926
lin04, 1267 (0.070), 1267 (0.021), 1267 (0.026), 1267 (0.045), 1267 (0.044), 1239
lin05, 1709 (0.150), 1824 (0.027), 1808 (0.041), 1709 (0.071), 1824 (0.080), 1703
lin06, 1348 (0.184), 1389 (0.030), 1384 (0.033), 1348 (0.097), 1394 (0.081), 1348
lin07, 1885 (0.430), 2007 (0.171), 2007 (0.166), 1885 (0.338), 2007 (0.315), 1885
lin08, 2248 (0.389), 2304 (0.160), 2248 (0.187), 2248 (0.376), 2304 (0.358), 2248
lin09, 2785 (0.381), 2785 (0.155), 2785 (0.163), 2785 (0.375), 2785 (0.371), 2752
lin10, 4155 (0.835), 4354 (0.183), 4386 (0.195), 4155 (0.639), 4386 (0.471), 4132
lin11, 4297 (6.390), 4335 (3.040), 4335 (3.063), 4297 (6.077), 4335 (6.162), 4280
lin12, 5301 (6.646), 5356 (3.019), 5356 (3.246), 5301 (6.283), 5356 (6.192), 5250
lin13, 4638 (6.793), 4814 (3.109), 4850 (3.193), 4638 (6.714), 4850 (6.622), 4609
lin14, 6045 (7.824), 6233 (3.110), 6179 (3.407), 6045 (6.879), 6233 (7.030), 5824
lin15, 7169 (12.24), 7412 (3.249), 7362 (3.522), 7169 (9.127), 7412 (8.602), 7145
lin16, 6723 (87.16), 6806 (42.12), 6806 (43.04), 6723 (86.46), 6806 (87.00), 6618
lin17, 8447 (90.55), 9502 (43.34), 9344 (43.53), 8447 (90.32), 9502 (90.33), 8405
lin18, 9877 (99.26), 10852 (45.14), 10766 (43.97), 9877 (95.01), 10852 (89.61), 9714
lin19, 13269 (124.8), 13830 (46.88), 13823 (47.10), 13269 (119.1), 13830 (96.63), 13268
lin20, 7062 (536.3), 7169 (271.3), 7169 (278.1), 7062 (567.1), 7169 (545.0), 6673
lin21, 9620 (555.6), 9654 (277.0), 9654 (281.5), 9620 (562.6), 9654 (569.5), 9143
lin22, 10953 (562.3), 10989 (282.5), 11025 (278.0), 10953 (559.0), 11025 (549.2), 10519
lin23, 18544 (565.5), 18656 (287.1), 18656 (287.1), 18544 (563.5), 18656 (564.0), 17560
