file, HYBRID_GRASP_WITH_PERTURBATIONS
e01.stp, 111
e02.stp, 222
e03.stp, 4059
e04.stp, 5122
e05.stp, 8138
e06.stp, 76
e07.stp, 149
e08.stp, 2662
e09.stp, 3626
e10.stp, 5605
e11.stp, 37
e12.stp, 68
e13.stp, 1297
e14.stp, 1739
e15.stp, 2792
e16.stp, 16
e17.stp, 26
e18.stp, 626
e19.stp, 805
e20.stp, 2147483647
