#edges
file, original, SD2, 1-2, SD2->1-2, 1-2->SD2
d16, 1000, 1000, 1000, 1000, 1000
d17, 1000, 1000, 1000, 1000, 1000
d18, 1000, 1000, 1000, 995, 1000
d19, 1000, 1000, 1000, 997, 1000
d20, 1000, 1000, 1000, 972, 1000
e01, 2500, 2500, 962, 962, 962
e02, 2500, 2500, 1004, 1004, 1004
e03, 2500, 2500, 1243, 1227, 1243
e04, 2500, 2500, 1336, 1303, 1336
e05, 2500, 2500, 1741, 1663, 1741
e06, 2500, 2500, 1879, 1879, 1879
e07, 2500, 2500, 1909, 1908, 1909
e08, 2500, 2500, 2007, 1831, 2007
e09, 2500, 2500, 2072, 1801, 2072
e10, 2500, 2500, 2190, 1852, 2190
e11, 2500, 2500, 2498, 2498, 2498
e12, 2500, 2500, 2500, 2496, 2500
e13, 2500, 2500, 2496, 2210, 2496
e14, 2500, 2500, 2499, 2112, 2499
e15, 2500, 2500, 2498, 2048, 2498
e16, 2500, 2500, 2500, 2500, 2500
e17, 2500, 2500, 2500, 2500, 2500
e18, 2500, 2500, 2500, 2497, 2500
e19, 2500, 2500, 2500, 2463, 2500
e20, 2500, 2500, 2500, 2438, 2500
lin01, 53, 53, 49, 48, 49
lin02, 55, 55, 51, 50, 51
lin03, 57, 57, 53, 49, 53
lin04, 157, 157, 153, 149, 153
lin05, 160, 160, 156, 153, 156
lin06, 165, 165, 161, 148, 161
lin07, 307, 307, 303, 302, 303
lin08, 311, 311, 307, 305, 307
lin09, 313, 313, 309, 306, 309
lin10, 321, 321, 317, 310, 317
lin11, 816, 816, 812, 811, 812
lin12, 818, 818, 814, 812, 814
lin13, 822, 822, 818, 815, 818
lin14, 828, 828, 824, 819, 824
lin15, 840, 840, 836, 821, 836
lin16, 1981, 1981, 1977, 1977, 1977
lin17, 1989, 1989, 1985, 1983, 1985
lin18, 1994, 1994, 1990, 1986, 1990
lin19, 2010, 2010, 2006, 1996, 2006
lin20, 3675, 3675, 3671, 3668, 3671
lin21, 3683, 3683, 3679, 3676, 3679
lin22, 3692, 3692, 3688, 3683, 3688
lin23, 3716, 3716, 3712, 3699, 3712
pp time
file, original, SD2, 1-2, SD2->1-2, 1-2->SD2
b01, 0, 0.0079842, 0.0119041, 0.0051643, 0.0099494
b02, 0, 0.0021275, 3.227E-4, 0.0025249, 0.0012055
b03, 0, 0.0034258, 1.1E-4, 0.0029147, 0.0022405
b04, 0, 0.00152, 1.255E-4, 0.0023569, 0.0017192
b05, 0, 0.0014459, 1.251E-4, 0.0015005, 0.0013135
b06, 0, 0.0028085, 8.85E-5, 0.0028456, 0.003022
b07, 0, 0.0023046, 1.344E-4, 0.0023516, 0.0010054
