file, HYBRID_GRASP_WITH_PERTURBATIONS
c01.stp, 85(27.065)
c02.stp, 144(25.903)
c03.stp, 754(72.377)
c04.stp, 1079(103.314)
c05.stp, 1579(179.942)
c06.stp, 55(39.720)
c07.stp, 102(41.500)
c08.stp, 509(87.800)
c09.stp, 708(134.775)
c10.stp, 1093(220.713)
c11.stp, 32(102.239)
c12.stp, 46(111.271)
c13.stp, 258(183.074)
c14.stp, 323(187.122)
c15.stp, 556(251.799)
c16.stp, 11(687.979)
c17.stp, 18(930.836)
c18.stp, 114(-0.000)
c19.stp, 146(-0.000)
c20.stp, 267(-0.000)
