file, HYBRID_GRASP_WITH_PERTURBATIONS
d01.stp, 106(156.355)
d02.stp, 220(179.183)
d03.stp, 1567(475.905)
d04.stp, 1937(618.078)
d05.stp, 3252(1471.757)
d06.stp, 70(202.042)
d07.stp, 103(227.384)
d08.stp, 1075(822.275)
d09.stp, 1450(1189.089)
d10.stp, 2110(1925.985)
d11.stp, 30(501.614)
d12.stp, 42(538.514)
d13.stp, 500(1551.765)
d14.stp, 667(-0.000)
d15.stp, 1116(-0.000)
d16.stp, 13(-0.000)
d17.stp, 23(-0.000)
d18.stp, 227(-0.000)
d19.stp, 318(-0.000)
d20.stp, 537(-0.000)
