file, HYBRID_GRASP_WITH_PERTURBATIONS
d01.stp, 106
d02.stp, 220
d03.stp, 1567
d04.stp, 1937
d05.stp, 3252
d06.stp, 70
d07.stp, 103
d08.stp, 1075
d09.stp, 1450
d10.stp, 2110
d11.stp, 30
d12.stp, 42
d13.stp, 500
d14.stp, 667
d15.stp, 1116
d16.stp, 13
d17.stp, 23
d18.stp, 227
d19.stp, 318
d20.stp, 537
