file, weight, time, #terminals
b01.stp, 82.0, 1.903s, 9
b02.stp, 83.0, 96.835s, 13
b03.stp, -, timeout, 25
b04.stp, 59.0, 0.420s, 9
b05.stp, 61.0, 104.601s, 13
b06.stp, -, timeout, 25
b07.stp, 111.0, 153.716s, 13
b08.stp, -, timeout, 19
b09.stp, -, timeout, 38
b10.stp, 86.0, 163.283s, 13
b11.stp, -, timeout, 19
b12.stp -, timeout, 38
b13.stp, -, timeout, 17
b14.stp, -, timeout, 25
b15.stp, -, timeout, 50
b16.stp, -, timeout, 17
b17.stp, -, timeout, 25
b18.stp, -, timeout, 50
