file, HYBRID_GRASP_WITH_PERTURBATIONS
b01.stp, 82(1.277)
b02.stp, 83(0.430)
b03.stp, 138(0.514)
b04.stp, 59(0.463)
b05.stp, 61(0.386)
b06.stp, 122(0.701)
b07.stp, 111(0.546)
b08.stp, 104(0.578)
b09.stp, 220(1.049)
b10.stp, 86(0.980)
b11.stp, 88(0.890)
b12.stp, 174(1.480)
b13.stp, 165(1.561)
b14.stp, 235(1.490)
b15.stp, 318(2.520)
b16.stp, 127(2.044)
b17.stp, 131(2.244)
b18.stp, 218(3.226)
